nb_iters,time,estimation
10,3.981590270996094e-05,2.8
10,2.9087066650390625e-05,2.8
10,2.4080276489257812e-05,2.4
10,2.3603439331054688e-05,2.8
10,2.3365020751953125e-05,3.6
10,2.288818359375e-05,2.8
10,2.3126602172851562e-05,2.8
10,2.2649765014648438e-05,2.8
10,2.3126602172851562e-05,3.6
10,2.2649765014648438e-05,3.2
12,2.5987625122070312e-05,2.6666666666666665
12,2.6226043701171875e-05,2.3333333333333335
12,2.574920654296875e-05,3.0
12,2.574920654296875e-05,4.0
12,2.7418136596679688e-05,3.3333333333333335
12,2.6226043701171875e-05,4.0
12,2.6226043701171875e-05,3.3333333333333335
12,2.5987625122070312e-05,3.0
12,2.5987625122070312e-05,3.3333333333333335
12,2.574920654296875e-05,2.3333333333333335
14,2.86102294921875e-05,3.142857142857143
14,2.9325485229492188e-05,3.4285714285714284
14,2.9325485229492188e-05,2.5714285714285716
14,2.8848648071289062e-05,3.7142857142857144
14,2.9087066650390625e-05,3.4285714285714284
14,2.9802322387695312e-05,2.857142857142857
14,3.0517578125e-05,3.142857142857143
14,2.9325485229492188e-05,3.142857142857143
14,2.9087066650390625e-05,2.857142857142857
14,2.9325485229492188e-05,2.5714285714285716
17,3.409385681152344e-05,3.0588235294117645
17,3.4332275390625e-05,3.5294117647058822
17,3.361701965332031e-05,2.823529411764706
17,3.3855438232421875e-05,4.0
17,3.3855438232421875e-05,3.2941176470588234
17,3.457069396972656e-05,3.2941176470588234
17,3.528594970703125e-05,2.823529411764706
17,3.409385681152344e-05,3.0588235294117645
17,3.3855438232421875e-05,3.0588235294117645
17,3.3855438232421875e-05,3.0588235294117645
21,4.029273986816406e-05,2.857142857142857
21,4.00543212890625e-05,3.238095238095238
21,4.029273986816406e-05,3.238095238095238
21,4.029273986816406e-05,2.6666666666666665
21,4.1961669921875e-05,3.0476190476190474
21,4.029273986816406e-05,3.619047619047619
21,4.029273986816406e-05,2.857142857142857
21,4.076957702636719e-05,3.238095238095238
21,4.0531158447265625e-05,3.8095238095238093
21,4.029273986816406e-05,3.0476190476190474
25,4.649162292480469e-05,3.04
25,4.839897155761719e-05,2.56
25,4.696846008300781e-05,3.2
25,4.673004150390625e-05,2.56
25,4.673004150390625e-05,2.56
25,4.7206878662109375e-05,3.04
25,4.7206878662109375e-05,2.72
25,4.839897155761719e-05,3.36
25,4.673004150390625e-05,3.04
25,7.43865966796875e-05,2.88
30,5.4836273193359375e-05,3.6
30,5.507469177246094e-05,2.8
30,5.459785461425781e-05,2.6666666666666665
30,5.602836608886719e-05,3.3333333333333335
30,5.435943603515625e-05,3.3333333333333335
30,5.507469177246094e-05,2.8
30,5.555152893066406e-05,3.466666666666667
30,5.53131103515625e-05,2.933333333333333
30,5.650520324707031e-05,3.466666666666667
30,5.507469177246094e-05,2.6666666666666665
37,6.604194641113281e-05,2.918918918918919
37,6.580352783203125e-05,2.918918918918919
37,6.604194641113281e-05,3.135135135135135
37,6.699562072753906e-05,3.2432432432432434
37,6.580352783203125e-05,3.2432432432432434
37,6.604194641113281e-05,3.675675675675676
37,6.556510925292969e-05,2.918918918918919
37,6.723403930664062e-05,3.7837837837837838
37,6.604194641113281e-05,3.3513513513513513
37,6.628036499023438e-05,3.4594594594594597
44,7.677078247070312e-05,3.1818181818181817
44,7.843971252441406e-05,3.272727272727273
44,7.700920104980469e-05,2.909090909090909
44,7.724761962890625e-05,3.6363636363636362
44,7.843971252441406e-05,3.090909090909091
44,7.677078247070312e-05,2.727272727272727
44,7.748603820800781e-05,2.8181818181818183
44,7.724761962890625e-05,3.4545454545454546
44,7.796287536621094e-05,3.0
44,7.700920104980469e-05,3.4545454545454546
54,9.322166442871094e-05,3.4074074074074074
54,9.465217590332031e-05,3.037037037037037
54,9.369850158691406e-05,3.111111111111111
54,9.274482727050781e-05,3.4814814814814814
54,9.465217590332031e-05,3.4074074074074074
54,9.226799011230469e-05,2.962962962962963
54,9.393692016601562e-05,2.6666666666666665
54,9.441375732421875e-05,3.3333333333333335
54,9.322166442871094e-05,2.740740740740741
54,9.298324584960938e-05,3.4814814814814814
65,0.0001304149627685547,2.830769230769231
65,0.00011157989501953125,2.953846153846154
65,0.00011134147644042969,3.076923076923077
65,0.00011038780212402344,3.0153846153846153
65,0.00011157989501953125,3.3230769230769233
65,0.00011205673217773438,3.1384615384615384
65,0.000110626220703125,3.3230769230769233
65,0.00011181831359863281,3.0153846153846153
65,0.0001232624053955078,3.5076923076923077
65,0.00011301040649414062,3.1384615384615384
79,0.00013113021850585938,3.088607594936709
79,0.000133514404296875,3.392405063291139
79,0.00013256072998046875,2.9367088607594938
79,0.00013399124145507812,3.037974683544304
79,0.0001323223114013672,3.1392405063291138
79,0.00013399124145507812,3.037974683544304
79,0.0001327991485595703,3.2911392405063293
79,0.00013399124145507812,3.088607594936709
79,0.00013327598571777344,3.3417721518987342
79,0.00013446807861328125,3.189873417721519
95,0.00015783309936523438,2.778947368421053
95,0.00015997886657714844,3.2
95,0.0001571178436279297,3.2
95,0.0001595020294189453,3.1578947368421053
95,0.0001595020294189453,2.863157894736842
95,0.00015735626220703125,3.2842105263157895
95,0.0001595020294189453,2.9894736842105263
95,0.0001590251922607422,3.2421052631578946
95,0.00015735626220703125,3.2842105263157895
95,0.00015926361083984375,2.9894736842105263
115,0.00018906593322753906,3.408695652173913
115,0.00019693374633789062,3.3043478260869565
115,0.00019121170043945312,3.0608695652173914
115,0.0001919269561767578,3.0608695652173914
115,0.0001895427703857422,3.130434782608696
115,0.00019049644470214844,3.1652173913043478
115,0.0001914501190185547,3.1652173913043478
115,0.00019073486328125,3.1652173913043478
115,0.00019025802612304688,3.130434782608696
115,0.0001919269561767578,3.0608695652173914
138,0.0002276897430419922,3.2753623188405796
138,0.0002269744873046875,3.130434782608696
138,0.00022792816162109375,3.246376811594203
138,0.00022745132446289062,2.898550724637681
138,0.00022673606872558594,2.9855072463768115
138,0.00022554397583007812,3.1884057971014492
138,0.00022840499877929688,3.3333333333333335
138,0.00022721290588378906,2.927536231884058
138,0.0002281665802001953,2.7246376811594204
138,0.00023865699768066406,3.3333333333333335
167,0.00027251243591308594,3.2574850299401197
167,0.00027370452880859375,2.946107784431138
167,0.00027251243591308594,3.2095808383233533
167,0.0002751350402832031,3.161676646706587
167,0.0002760887145996094,3.065868263473054
167,0.0002734661102294922,3.3293413173652695
167,0.00027298927307128906,3.2335329341317367
167,0.0002751350402832031,3.065868263473054
167,0.0002734661102294922,3.4491017964071857
167,0.000274658203125,3.0179640718562872
202,0.00033020973205566406,3.287128712871287
202,0.00032973289489746094,3.3069306930693068
202,0.00032973289489746094,3.1683168316831685
202,0.0003368854522705078,3.1881188118811883
