nb_iters,time,estimation
10,3.600120544433594e-05,3.2
10,2.47955322265625e-05,3.6
10,1.9788742065429688e-05,3.6
10,1.9073486328125e-05,3.2
10,1.9073486328125e-05,2.8
10,1.9073486328125e-05,2.8
10,1.8835067749023438e-05,3.2
10,1.8596649169921875e-05,3.2
10,1.8596649169921875e-05,3.2
10,1.8358230590820312e-05,2.4
12,2.09808349609375e-05,2.6666666666666665
12,2.09808349609375e-05,3.3333333333333335
12,2.09808349609375e-05,3.3333333333333335
12,2.1219253540039062e-05,2.3333333333333335
12,2.2649765014648438e-05,3.3333333333333335
12,2.1219253540039062e-05,2.6666666666666665
12,2.1457672119140625e-05,3.3333333333333335
12,2.1219253540039062e-05,3.3333333333333335
12,2.09808349609375e-05,3.3333333333333335
12,2.09808349609375e-05,3.3333333333333335
14,2.288818359375e-05,3.142857142857143
14,2.3365020751953125e-05,3.4285714285714284
14,2.3365020751953125e-05,2.5714285714285716
14,2.3365020751953125e-05,3.142857142857143
14,2.3603439331054688e-05,2.857142857142857
14,2.3603439331054688e-05,2.5714285714285716
14,2.47955322265625e-05,2.857142857142857
14,2.3603439331054688e-05,3.7142857142857144
14,2.3365020751953125e-05,3.7142857142857144
14,2.3126602172851562e-05,3.7142857142857144
17,2.6464462280273438e-05,2.823529411764706
17,2.7179718017578125e-05,2.823529411764706
17,2.6941299438476562e-05,3.764705882352941
17,2.7179718017578125e-05,3.5294117647058822
17,2.6941299438476562e-05,2.588235294117647
17,2.6941299438476562e-05,3.2941176470588234
17,2.86102294921875e-05,2.823529411764706
17,2.7179718017578125e-05,3.5294117647058822
17,2.7418136596679688e-05,3.0588235294117645
17,2.6941299438476562e-05,3.0588235294117645
21,3.123283386230469e-05,3.0476190476190474
21,3.1948089599609375e-05,2.857142857142857
21,3.1948089599609375e-05,3.0476190476190474
21,3.170967102050781e-05,3.4285714285714284
21,3.314018249511719e-05,3.238095238095238
21,3.1948089599609375e-05,3.0476190476190474
21,3.528594970703125e-05,2.857142857142857
21,3.218650817871094e-05,2.857142857142857
21,3.170967102050781e-05,3.0476190476190474
21,3.1948089599609375e-05,2.857142857142857
25,3.600120544433594e-05,3.52
25,3.790855407714844e-05,3.2
25,3.6716461181640625e-05,3.52
25,3.6716461181640625e-05,2.72
25,3.62396240234375e-05,3.2
25,3.6716461181640625e-05,3.2
25,3.647804260253906e-05,3.2
25,3.814697265625e-05,2.88
25,3.695487976074219e-05,3.68
25,3.647804260253906e-05,3.04
30,4.1961669921875e-05,3.3333333333333335
30,4.2438507080078125e-05,2.8
30,4.2438507080078125e-05,3.6
30,4.410743713378906e-05,3.2
30,4.2438507080078125e-05,3.466666666666667
30,4.267692565917969e-05,3.2
30,4.267692565917969e-05,2.8
30,4.2438507080078125e-05,3.2
30,4.363059997558594e-05,3.066666666666667
30,4.267692565917969e-05,2.8
37,5.054473876953125e-05,3.675675675675676
37,5.078315734863281e-05,3.2432432432432434
37,5.1021575927734375e-05,2.918918918918919
37,5.245208740234375e-05,2.918918918918919
37,6.628036499023438e-05,3.2432432432432434
37,5.245208740234375e-05,2.918918918918919
37,5.1021575927734375e-05,3.4594594594594597
37,5.269050598144531e-05,3.7837837837837838
37,5.125999450683594e-05,3.3513513513513513
37,5.1021575927734375e-05,3.135135135135135
44,5.8650970458984375e-05,2.8181818181818183
44,6.0558319091796875e-05,3.5454545454545454
44,5.936622619628906e-05,3.4545454545454546
44,5.91278076171875e-05,3.090909090909091
44,6.0558319091796875e-05,2.8181818181818183
44,5.936622619628906e-05,3.1818181818181817
44,5.91278076171875e-05,3.272727272727273
